id,datetime,dsar_f0-f1,dsar_f1-f2,dsar_f2-f3,dsar_f3-f4,rsam_f0,rsam_f1,rsam_f2,rsam_f3,rsam_f4
357,2025-06-26 12:00:00,4.121135873926354,26.357022403349763,2.392474903875096,0.342091044917805,0.2235332017025103,0.538485594738129,0.2520998860831447,0.2219587674990336,1.134564136269669
357,2025-06-26 12:10:00,10.63535675345904,9.75299209656466,2.37135443387576,0.329836093746323,0.1492157078059658,0.3964768831369723,0.2416908564582043,0.2209864311534296,1.1617998503553095
357,2025-06-26 12:20:00,10.684479854865614,14.2388727779775,2.2998683908557527,0.3270254293636664,0.2234005131807655,0.4109589052832292,0.2315482136572847,0.2166784379723601,1.1415797706251625
357,2025-06-26 12:30:00,14.619634758659124,20.10138807913444,2.2708772626727587,0.341490831515938,0.4029292829495554,0.4690589435221817,0.2384536885397782,0.225012017578835,1.138706336918651
357,2025-06-26 12:40:00,15.598939486643406,7.666994496015821,2.418948307159824,0.3396602803376404,0.1570522522390439,0.3741375777703694,0.2612441828501474,0.227945730974609,1.1661455741991
357,2025-06-26 12:50:00,3.080238305324389,43.94097096275604,2.36827818214205,0.3555812577199285,0.264274895657361,0.7309102340744871,0.2712370004645212,0.2341374536631574,1.163378084367063
357,2025-06-26 13:00:00,2.4571837492748374,42.17216893687145,2.171154765325338,0.3719131064950224,0.2632979512293669,0.6790254115729875,0.2564023537519625,0.2392581177967751,1.1455482531332617
357,2025-06-26 13:10:00,3.0275867811011965,44.67851167690382,2.199839045711556,0.3804547089662829,0.3129657514229763,0.7469863523401298,0.2684566643667243,0.2487061855884335,1.1617115669495892
357,2025-06-26 13:20:00,6.354650812347578,23.430046864062817,2.2387141102008625,0.3514905391711689,0.2499430989560877,0.4924973661713759,0.2555428132945622,0.2351937092575718,1.1710276689827488
357,2025-06-26 13:30:00,6.280102895485352,30.56838854823075,2.3535345478579712,0.3393122982865179,0.2786448705316184,0.5811719916953431,0.2480369351859697,0.226853801710429,1.1543928454711394
357,2025-06-26 13:40:00,22.15868955570096,7.671634643095952,2.254620003607649,0.333201227211567,0.2022687738640462,0.3749983790223427,0.2336731256729559,0.2225958460900762,1.1496216384097986
357,2025-06-26 13:50:00,8.962390764229935,7.620600813485471,2.235844809523274,0.3527753782800751,0.1046597630416504,0.3816628140900905,0.2460776973986336,0.23471394206581,1.1452634887457576
357,2025-06-26 14:00:00,8.175137590629198,6.758558460493596,2.330328194292445,0.3796024540374432,0.0984410551386072,0.402375378867793,0.2797735346398238,0.2487634235876386,1.154426231312592
357,2025-06-26 14:10:00,14.88678207489986,6.595046992723469,2.3502105173358374,0.3562402876841324,0.1519427091736646,0.3954362611292067,0.2643893202368614,0.2383701084165416,1.1700350859367012
357,2025-06-26 14:20:00,15.439274184858608,4.429439278697123,3.10892497683996,0.3799920796078406,0.1393074232927727,0.4098893729143269,0.3420051290793164,0.2535354567686176,1.16712906081021
357,2025-06-26 14:30:00,9.043875552305929,2.8867670628672784,4.625172568086219,0.4019764776229538,0.1005793770788507,0.4728701463902074,0.480375060549512,0.2714859584203248,1.154380779804346
357,2025-06-26 14:40:00,9.291153104004906,4.982238608356274,3.175755253482917,0.4012019120011389,0.1039510022562029,0.4941184226876177,0.3601137272855857,0.2681386943864471,1.156085727840089
357,2025-06-26 14:50:00,12.0026947723314,5.801467525396851,3.1536726385328016,0.4132474920760666,0.1467271209142605,0.4459018155808329,0.3581024930579227,0.2678784365156488,1.129724157765435
357,2025-06-26 15:00:00,22.24552771019863,9.435885891523428,2.017123646235334,0.3822234829826161,0.2722336436723545,0.3720896252869895,0.243395742659729,0.2499500842706658,1.1395402622917763
357,2025-06-26 15:10:00,7.864406943960205,19.213936131543225,2.0349144166532933,0.3794411293567424,0.2178974028681484,0.443849988096861,0.2462972215225455,0.2444763842837237,1.1510946895220815
357,2025-06-26 15:20:00,1.911500080964226,27.26297806015572,2.1235332140472307,0.3911680605016562,0.1383266539437337,0.6230963214185483,0.2645548554026155,0.2625869259043397,1.1760850705206514
357,2025-06-26 15:30:00,1.3151618188625935,39.27433672873217,1.8843967913254696,0.4282836574530232,0.1276680575179907,0.6649342952815986,0.2629877730542813,0.3125256683826718,1.1728015818049862
357,2025-06-26 15:40:00,2.889956040463409,37.75019361485434,2.003479757298517,0.3988057002159822,0.1787946340624062,0.6319095605741984,0.2537161454051005,0.2740572276160885,1.1680805427725
357,2025-06-26 15:50:00,3.353512072138106,27.13594497106136,2.076124292987206,0.373836123568158,0.1536358099419048,0.5293894205443525,0.2438411719671179,0.2527252736132963,1.1508260300579238
357,2025-06-26 16:00:00,6.671656349676,12.724860380368606,2.017391377352992,0.3861680608648336,0.1491445061301589,0.4205753479577948,0.2541967295201345,0.2700899121986599,1.174254230412452
357,2025-06-26 16:10:00,8.600805176063131,13.002917537677227,1.9850346785446176,0.3770365784593926,0.185902461275285,0.3984195014965144,0.2395243868630708,0.2557848271826315,1.1546786919985828
357,2025-06-26 16:20:00,5.715909793503906,14.52333557848168,2.122595988332922,0.3523046310324172,0.1456214596430867,0.4198683604899458,0.2384903862880454,0.2387180754368939,1.1623892755705965
357,2025-06-26 16:30:00,8.459229061159308,14.963492233569076,2.1407365960023235,0.3955251831860044,0.2390215375744653,0.4304632109194968,0.2759152316642651,0.2698535304285097,1.1759327413733238
357,2025-06-26 16:40:00,4.665822572353766,25.132743435719448,2.1070605263590387,0.3712100487278395,0.2335343284705989,0.4807279323730096,0.2484158318056301,0.2491756597449031,1.1563228552129547
