datetime,dsar_f0-f1,dsar_f1-f2,dsar_f2-f3,dsar_f3-f4,rsam_f0,rsam_f1,rsam_f2,rsam_f3,rsam_f4
2025-01-01 00:00:00,2.776187047526003,33.885170533336655,49.30388020900078,94.25843152121575,3.901677300914634,16.88255696987104,10.930196845829856,13.769285688618872,13.111492897448503
2025-01-01 00:10:00,2.338222585676678,29.081873992310264,41.63828633894148,67.8073045596973,3.61386665958676,16.476234406714415,10.256373598254264,12.992982181060295,14.724349823847694
2025-01-01 00:20:00,2.9465616541385,41.06346043369196,61.92251374686968,92.86094525191112,4.082478794642983,15.807543509451325,9.398641376605886,11.894195121190949,14.55067209975526
2025-01-01 00:30:00,2.90119944763264,37.96707073235144,58.665755294994966,95.12795771713598,3.755505233559728,15.897350311017506,9.3574484895513,11.807680446411045,13.077224685435477
2025-01-01 00:40:00,2.212751549757892,29.013270370077716,40.449366368255205,60.52621694806079,3.620882809527123,16.149205868030364,9.910210300875995,13.086154673166693,16.10417654735612
2025-01-01 00:50:00,2.284779448426352,31.031203033145573,44.66584544604737,66.57546107533317,3.757128375444704,16.91205534385063,9.523146616901276,12.385093754804185,15.683757540269234
2025-01-01 01:00:00,2.306280629125044,29.36663112216686,42.48968836937318,72.82961083742552,4.053339116643476,16.608377875619418,10.41041574871178,13.46745324294439,14.171340449654744
2025-01-01 01:10:00,2.302189827138844,27.00579815847963,38.59483974082671,66.87527154233501,3.734589312550333,17.003034564674905,10.900857070208511,13.91104921940646,14.827675327635612
2025-01-01 01:20:00,2.9622062922772177,30.097136700502272,44.010726798153456,75.28193573700383,4.183743739846624,17.214588900841935,12.071484261900288,15.05045703809655,16.59844478058552
2025-01-01 01:30:00,2.5683490811750174,28.09948948766859,39.628462884747,70.25609510649221,4.085922739801893,17.71034598163807,12.285675129587634,15.388416214880122,16.206510446760166
2025-01-01 01:40:00,2.2733955278317004,15.785032707936574,24.717103491326395,46.496277083552926,3.568927304316794,19.953008005946085,18.21007257585862,21.56586312800308,20.43376617807189
2025-01-01 01:50:00,2.479905065102689,23.419157933536667,33.35897027008011,52.66813132237372,3.975455669245637,19.717709862055084,14.715619221999477,18.689055537830704,22.075509551238653
2025-01-01 02:00:00,2.721970338498145,29.837823711840954,41.96877349623383,66.15028983901698,4.404118696059746,20.50048974144691,12.498046503500756,16.70359573207614,19.11794350611773
2025-01-01 02:10:00,2.643796277701462,17.830966966499,23.20139698666947,44.65772893331281,3.849278647709988,22.621239003336647,20.33973073129793,27.839253061634363,25.243671050050136
2025-01-01 02:20:00,1.215792034507288,37.00395883331982,103.56710131155238,248.1385313830017,49.43604122942946,251.7362856595321,70.72431611712283,49.36206135259332,38.166451837548166
2025-01-01 02:30:00,2.184921006270301,23.47034563621048,37.11551035298185,54.37731377771938,3.87350365028207,28.25141367655842,12.981036065331558,16.73818212041288,21.03740345085282
2025-01-01 02:40:00,2.4652358319286543,26.35062914498414,40.40120292608067,60.729423684089845,4.361896282846748,30.576689743462182,13.28058030274344,17.500301608595894,21.680975936201143
2025-01-01 02:50:00,1.744203627075545,16.834032845378612,26.20044327013404,38.17527877839834,3.399769026089793,33.105052085270074,14.227054618898665,18.89656733231524,24.49099932239903
2025-01-01 03:00:00,1.9758400005914416,16.168270181751602,24.31677248662684,33.132203410037114,3.989096328295531,34.14732883627505,17.939629333451876,24.1797008172837,32.59518232652758
2025-01-01 03:10:00,1.66139732774511,19.040022379903466,32.48122509720468,43.66188887472851,4.299079796021562,45.76570264958372,14.127300441417823,17.94371739915752,24.53124168803249
2025-01-01 03:20:00,1.5356258024541996,21.09851737123725,37.148627906974994,55.75348913915641,3.8177749160009977,54.40705859960464,13.398780338751216,16.16358376582034,20.106553412036348
2025-01-01 03:30:00,2.26985210977196,30.168946143813507,49.31146447603776,71.22697040751368,4.355268307745793,42.89722581301642,12.990086105937664,15.917091703553387,21.1871498071165
2025-01-01 03:40:00,2.383542013919436,24.035690562739557,37.567559032804965,50.17518890739344,5.358515462164063,34.08814590022436,17.534045108293796,22.598199813514043,31.150137216273944
2025-01-01 03:50:00,27.302608216345146,724.937800042476,1326.0347734582645,2045.377347112918,129.0404025246149,70.93443244584766,29.47983101692965,30.813598891566905,40.43783561686716
2025-01-01 04:00:00,2.741555335328736,25.09466214494861,33.306853135222454,45.00121085195857,4.602277169150918,27.74871626659129,17.492295626961926,23.428128196623053,34.67925204722654
2025-01-01 04:10:00,2.5454046156953423,22.83748575896802,33.991531279271506,49.75972939733983,4.115327698542596,28.30582015810741,16.885039804162158,21.274061254428883,27.83096696308797
2025-01-01 04:20:00,27.69837407411658,966.7412533090233,1904.1590449651555,3706.223763288492,239.5833738036994,108.9221605216006,39.423592030538266,39.79253257606625,37.87313402169943
2025-01-01 04:30:00,23.82358551377419,579.5538427748445,1004.8927432963762,1907.199575450009,120.59944408461928,69.6924254985263,32.70796983764274,35.49322547074738,33.987597068059465
2025-01-01 04:40:00,22.859631265349304,1085.8320218825088,2876.212478019984,5188.55595212411,359.8494664322163,176.41624632800296,48.75038367149914,39.479523815427584,40.84379785584694
2025-01-01 04:50:00,21.299995213207005,1013.093297870976,2779.9609038395374,4983.723393945821,335.044889556018,169.44725784780465,46.49531389811217,36.42741543204513,37.98717619629116
2025-01-01 05:00:00,23.874814809901288,776.7477320265688,1685.310009402955,2967.657398817033,163.04120144293464,99.75422966619412,34.035793326207504,32.37493921193395,34.91158068228612
