datetime,rsam_f0,rsam_f1,rsam_f2,rsam_f3,rsam_f4,dsar_f0-f1,dsar_f1-f2,dsar_f2-f3,dsar_f3-f4
2025-01-03 00:00:00,3.7161532712242367,20.3488773429885,17.12467274341072,24.808458533553367,32.60513500303046,2.4645153131321496,21.10082473849965,24.883679942116345,34.634233653104324
2025-01-03 00:10:00,3.6754209581760966,19.473009031745036,18.30743150972015,25.493253926671848,29.894786126977703,1.9842536903430723,15.395428963819882,18.771753689342468,29.313285839196272
2025-01-03 00:20:00,3.7360932117549486,18.968343380793936,15.697991209773486,23.65606439001642,33.195458387475625,2.6531830682317192,24.633170099486797,27.211335454564335,36.56719526728574
2025-01-03 00:30:00,3.7981580311500838,19.439298213381235,21.438868221941707,31.314070671565446,38.514776316704946,1.962474687061282,15.678564446433091,16.863379463433283,25.09336537887299
2025-01-03 00:40:00,5.152953264207891,22.087098326626567,38.76607975582498,56.552408802006944,58.09005535307237,3.5848804854182728,16.880625395373475,17.929541088370588,31.326810592593255
2025-01-03 00:50:00,3.9330065299877397,19.043051076487473,28.238375129435557,35.586969555178435,50.2792529170526,3.0860495093541562,16.17468738386124,21.72881464636052,28.59146316953129
2025-01-03 01:00:00,4.395412807661152,19.024052328215078,13.24400139037826,18.777019602054644,21.948819720549135,3.29357675077544,37.32109675835206,47.387430029992856,71.70250242758493
2025-01-03 01:10:00,3.7124004361713627,19.393430374989467,17.65740253238497,22.649593730309952,31.990289269106828,2.648704386219785,20.13891020145412,28.40116510318357,37.138411686720204
2025-01-03 01:20:00,5.705597198729851,19.41510175670995,24.298190948544118,38.80062589472679,40.519876181159944,3.812146073580121,28.484777253298606,28.061205112359982,47.42748665989719
2025-01-03 01:30:00,4.274704795260964,17.950116745645644,16.658060298403395,22.17177351176371,29.958933572752525,2.551542729126277,22.964903979441026,29.00606470333722,40.57078271546241
2025-01-03 01:40:00,3.704138819403194,17.12318021640435,29.54371133018312,58.96163074011841,67.68137437436502,2.584180546420704,12.985599430453409,9.82580765031264,14.99802485653345
2025-01-03 01:50:00,3.7066099152017,22.356278703282108,20.598678788555993,27.427676041550818,29.147574140479232,2.2337223695789286,20.15184634693222,22.39725324074155,40.83036284475583
2025-01-03 02:00:00,128.49651551388936,58.33655043774884,30.97465978220524,43.2539197091112,44.07566946882486,28.009952691415045,776.174135252537,969.9361847263694,1737.1920744143422
2025-01-03 02:10:00,3.4140808821342707,16.911179735067968,19.37616065062183,29.03508605665428,43.28004815413646,2.301333219773998,17.824294004537574,18.790491353265132,24.021944807051923
2025-01-03 02:20:00,4.282723935931332,16.93882457831847,14.000149297962947,19.239300380659014,22.08966678337759,2.558266176631285,25.809605744268755,32.55190668055818,52.2505159148675
2025-01-03 02:30:00,3.7363336280273596,16.09810764604231,15.313294459646142,23.277908692323155,35.13554884278162,2.3124425881712605,21.949165170476405,24.608136354111064,31.417042852285288
2025-01-03 02:40:00,3.627675262750074,15.87985075544503,18.191495129318962,26.9644548765305,36.14959692067063,2.2531944366877026,18.48373487226462,19.610164908611626,28.02667633798759
2025-01-03 02:50:00,4.27895195367198,16.25312363233803,16.793452891081067,23.560831136656812,30.13746924932601,2.349927641736619,22.03547757650845,26.43275428494183,38.183269177163346
2025-01-03 03:00:00,4.021666481317389,15.51234801763317,19.841348489600318,24.370224688640462,26.60703930612789,3.084516837077137,21.092832291762864,29.920263542264873,47.92231261534191
2025-01-03 03:10:00,3.9304450331443017,15.391611557056747,16.326497618463275,23.408233284064586,29.066892202746555,2.184019929561388,18.560967452450384,22.431934014984368,32.88227509984626
2025-01-03 03:20:00,3.8083798268464997,15.314449386647036,24.75322358599417,41.94974877386156,46.761793991885746,2.0409616703739966,12.72028483097797,11.306243087335087,18.47244071721095
2025-01-03 03:30:00,3.924788652938882,15.31742633039187,16.912663526645698,22.86707237005033,32.47795405129473,2.3646506359815374,19.305120894315976,23.041136032489554,31.870499785967247
2025-01-03 03:40:00,3.6748204664490784,14.781148101198417,12.826694798148932,18.99707362588944,28.672468928558054,2.581679448545893,27.784321073714846,32.73064913813356,41.696068784170855
2025-01-03 03:50:00,3.721755709250554,14.848916722976123,15.120839866569503,21.407458740192347,29.845648821760385,2.222190848273909,20.88313913999531,24.514328657845482,33.52471652165073
2025-01-03 04:00:00,3.633210647202418,18.157119597276665,24.92010764113299,36.70490836146521,38.86053511674208,2.7265513192675623,14.359789112055292,17.045489020551,28.187208809220365
2025-01-03 04:10:00,3.9513114439666985,14.777544881939372,20.028390762504362,27.16968861226896,35.882832641620105,2.9923306295357905,18.76328799788757,24.421172243287963,34.50725710193313
2025-01-03 04:20:00,3.8910809381339075,15.17270602916118,25.0082823543036,25.564227859362646,25.528933729608585,2.442897986182862,13.323302323688523,22.052862761733646,40.07091599414084
2025-01-03 04:30:00,4.100769640746387,15.02232048174191,44.33595100081145,51.28590704074004,59.974451424143936,2.9044152618105943,8.327204567055064,12.856285339265504,19.143802228106527
2025-01-03 04:40:00,3.9458016959377322,17.82679231294133,15.126061964310686,18.95961739072628,26.54175245126744,2.518788139899471,22.644703692164196,33.24111894339702,44.6925596719015
2025-01-03 04:50:00,3.8228103234494544,14.975783549153714,13.340677132707738,19.848008741747684,26.686034612222798,2.8347858174967784,28.321489843129577,33.462649328511205,46.37868659496792
2025-01-03 05:00:00,3.9014043355249455,13.578583103328205,13.631891389781119,18.58558544916477,21.428594226545712,3.319679177496886,32.008592837080734,41.191771316386905,64.57381268693962
